"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
4.474399220E-1	6.248866320E-1	-1.651999205E-1	9.830891609E0	9.852116734E0
4.494390550E-1	6.129156351E-1	-1.795651317E-1	9.864410400E0	9.885064580E0
4.514390550E-1	5.985504389E-1	-1.771709323E-1	9.907505989E0	9.927151006E0
4.534390550E-1	5.841852427E-1	-1.723825186E-1	9.950601578E0	9.969225641E0
4.554390210E-1	5.722141862E-1	-1.651999205E-1	9.996091843E0	1.001381906E1
4.574392540E-1	5.650315881E-1	-1.532289088E-1	1.003679276E1	1.005385243E1
4.594392200E-1	5.650315881E-1	-1.412578970E-1	1.007031155E1	1.008713979E1
4.614391860E-1	5.722141862E-1	-1.244984865E-1	1.008946514E1	1.010644526E1
4.634391520E-1	5.865794420E-1	-1.053448766E-1	1.008707142E1	1.010466144E1
4.654391180E-1	6.009446383E-1	-8.858546615E-2	1.007509995E1	1.009339491E1
4.674399510E-1	6.153098345E-1	-7.182604820E-2	1.004158115E1	1.006067181E1
4.694399170E-1	6.296750307E-1	-4.788403213E-2	9.981725693E0	1.000168143E1
4.714399170E-1	6.440402865E-1	-2.394201607E-2	9.919476509E0	9.940391105E0
4.734399500E-1	6.584054828E-1	7.182605099E-3	9.842862129E0	9.864861087E0
4.754399830E-1	6.703764796E-1	4.309562966E-2	9.751882553E0	9.774992337E0
4.774400160E-1	6.823474765E-1	7.422025502E-2	9.668086052E0	9.692419442E0
4.794400490E-1	7.015010715E-1	1.029506698E-1	9.579500198E0	9.605702819E0
4.814400820E-1	7.302315235E-1	1.316810995E-1	9.488520622E0	9.517489248E0
4.834401150E-1	7.613561153E-1	1.508347094E-1	9.407117844E0	9.439082602E0
4.854400810E-1	7.972691655E-1	1.628057212E-1	9.328108788E0	9.363533381E0
4.874392140E-1	8.355764151E-1	1.699883193E-1	9.253889084E0	9.293091367E0
4.894383140E-1	8.714894056E-1	1.771709323E-1	9.191639900E0	9.234561569E0
4.914374140E-1	9.074024558E-1	1.795651317E-1	9.141361237E0	9.188041582E0
4.934381800E-1	9.337386489E-1	1.747767180E-1	9.110237122E0	9.159630734E0
4.954381460E-1	9.528923035E-1	1.699883193E-1	9.093477249E0	9.144847087E0
4.974381120E-1	9.648633003E-1	1.651999205E-1	9.086295128E0	9.138873637E0
4.994380780E-1	9.624691010E-1	1.580173075E-1	9.093477249E0	9.145635282E0
5.014380440E-1	9.576807022E-1	1.484405100E-1	9.107842445E0	9.159256570E0
5.034380440E-1	9.433154464E-1	1.412578970E-1	9.138967514E0	9.188608439E0
5.054380770E-1	9.241618514E-1	1.292868853E-1	9.179668427E0	9.226976896E0
5.074389770E-1	9.050082564E-1	1.149216816E-1	9.225158691E0	9.270156407E0
5.094398770E-1	8.930372596E-1	1.005564705E-1	9.268254280E0	9.311721890E0
5.114395770E-1	8.930372596E-1	8.619125932E-2	9.306561470E0	9.349707529E0
5.134396100E-1	8.954314590E-1	6.224924326E-2	9.337685585E0	9.380727293E0
5.154396430E-1	9.050082564E-1	3.830722719E-2	9.361627579E0	9.405348389E0
5.174396760E-1	9.193734527E-1	1.436521020E-2	9.380781174E0	9.425736541E0
5.194397090E-1	9.361328483E-1	-1.197100803E-2	9.395146370E0	9.441676934E0
5.214397090E-1	9.504981041E-1	-3.351882473E-2	9.404723167E0	9.452692104E0
5.234397090E-1	9.648633003E-1	-5.746084079E-2	9.416694641E0	9.466171396E0
